content,second,sent
哈哈哈哈,192260,1564753419
哈哈哈哈哈哈,192419,1564755406
满身大汗左右为难,192446,1564755776
哈哈哈哈哈哈哈哈,192618,1564753079
沐上带了见面,192753,1564753831
母上大人这期有点帅啊,193443,1564751752
哈哈哈哈哈哈哈哈哈,193581,1564754187
满头大汉,193759,1564760934
C位,193964,1564756605
手怎么了,194201,1564758731
满头大喊,194861,1564756653
哈哈哈哈哈哈哈哈,195485,1564753475
满头大汉,196161,1564752761
我感觉母上怎么好看了许多,196759,1564756920
江小白打钱啊,197070,1564754239
哈哈哈,197198,1564751550
木上同款斜挎包,197485,1564757102
哈哈哈哈哈哈哈,197934,1564760075
沐上你是不是偷偷化妆了！！,198042,1564754103
哈哈哈,198576,1564759402
好客气啊,198780,1564752093
哈哈哈哈哈哈哈哈哈哈,199014,1564760206
哈哈哈哈哈,199169,1564754191
哈哈哈哈哈,199579,1564760184
哈哈哈哈哈哈哈哈哈哈,199598,1564756689
就很好哈哈哈,200089,1564758073
哈哈哈哈哈哈哈哈,200341,1564758630
左右为男,200443,1564753362
我们武汉人真的很热情,200527,1564759922
哈哈哈哈哈哈好热情啊,201534,1564755815
这么热情？,201679,1564757317
太热情了吧哈哈哈哈哈哈哈哈哈哈哈,201775,1564757438
好热情啊哈哈哈,201775,1564751114
哈哈哈哈哈,202141,1564753855
哈哈哈哈哈哈哈,202339,1564757287
哈哈哈哈哈哈哈,202719,1564755668
我一个武汉人来了北京  哈哈哈哈  怀念武汉的宵夜和早点,202804,1564756868
新婚快乐,202849,1564758797
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,203011,1564759515
米4达,203223,1564754338
哇,203777,1564752380
哈哈哈哈哈哈哈,203892,1564753103
现场直播的感觉哈哈哈,204033,1564759096
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,204158,1564754065
？？？,204179,1564754857
安排的妥妥当当的,204634,1564759869
好热情啊,205192,1564754751
哈哈哈哈 给大哥递烟,205263,1564760615
武汉人真是热情,205766,1564752900
来，恰烟,205858,1564754697
雪花打钱,205909,1564758873
武汉人听译，说的是黄鹤楼给你抽,206099,1564752334
难道是打广告,206279,1564756382
？？？？,206471,1564757365
被安排了哈哈,206471,1564752942
武汉人这么热情哟,206655,1564756262
妈呀好热情哈哈哈,206858,1564757413
哈哈哈哈哈,207139,1564760116
好日子,207299,1564754254
这武汉人真的热情,207320,1564760026
好热情啊,207326,1564755557
好热情,207660,1564758775
？？？,207815,1564754445
哈哈哈哈哈哈哈,207957,1564760705
好热情,208279,1564759189
哈哈哈哈哈哈哈哈,208376,1564756715
哈哈哈哈哈哈啊哈,208545,1564753016
月色下的母上很好看耶！,208619,1564757169
武汉滴伙计！讲胃口！,208751,1564753228
好了，亲啊，笑死了。,208840,1564761323
哈哈哈哈，太有趣了,208886,1564752190
河南洛阳报到！！,209048,1564758335
好热情哈哈哈哈哈哈哈哈哈,209050,1564759237
武汉就是热情爱热闹,209157,1564756495
感觉像是落入黑社会的俩只羊,209286,1564754246
哈哈哈哈哈,209350,1564755258
太可爱了,209466,1564756918
武汉人太逗了,209479,1564758424
大武汉太热情了,209675,1564758428
上供来啦,209679,1564758271
哈哈哈哈 烟都摆好了,209819,1564758716
哈哈哈哈哈哈,210090,1564753112
哈哈哈哈哈哈哈哈哈哈哈,210279,1564755486
qwq,210328,1564756088
牛逼了,210664,1564757425
hahhahaahha,210816,1564760381
江小白警告,211286,1564758807
哈哈哈哈上贡呢在这,212415,1564751979
好热情哈哈哈哈,212564,1564760480
热情,212601,1564755264
上供来了,212863,1564757593
哈哈哈哈哈   想偶遇,213199,1564754074
带明星,213994,1564761599
这很武汉,214218,1564754582
这咋回事哈哈哈哈,214401,1564751754
哈哈 我也是洛阳的,214546,1564759584
哈哈哈哈哈哈哈哈哈哈哈哈哈,214799,1564752310
太可爱了,214837,1564751581
大热天的来武汉，这是在赞叹你的勇气,214860,1564753379
哈哈哈哈哈哈太热情了8哈哈哈,214877,1564751807
直播送礼物,215293,1564752555
哈哈哈哈哈哈哈哈,215555,1564755629
哈哈哈哈哈,215789,1564757003
洛阳亲友如相问,216039,1564756591
还记得上次那个老乡说是安徽的2333,216238,1564758912
哈哈哈哈哈哈哈哈武汉人好可爱啊！！！,216382,1564754497
开始刷礼物了,216431,1564758208
黄鹤楼，哈哈哈,216719,1564753054
武汉人讲胃口,216748,1564757910
哈哈哈哈哈哈哈哈哈哈哈哈哈,217118,1564754321
有排face,217562,1564758842
哈哈哈哈哈哈哈,217736,1564760388
太有意思了好热情,217988,1564756141
树梢晚上要小心了,218058,1564759711
哇，我也是洛阳的,218351,1564756580
进入了节奏,219043,1564759693
我也洛阳的,219410,1564758200
哈哈哈哈哈哈哈喜欢这样的氛围,219567,1564751431
好热情哦,219731,1564752677
哈哈哈哈哈哈哈哈,221950,1564754410
爱热闹的武汉人,222374,1564753534
供奉,222497,1564753253
饿,222911,1564754554
满头大汉,223248,1564754750
好棒,223520,1564759210
哈哈哈哈哈嘎,223865,1564758881
大哥的白斑马,224118,1564758174
哈哈哈哈哈哈哈哈哈哈哈哈,224326,1564752962
奇怪的氛围，哈哈哈哈哈,224436,1564754075
哈哈哈哈哈哈哈哈,224488,1564753562
安排上了,224916,1564760395
哈哈哈哈哈哈哈哈哈,225274,1564756731
武汉nb,225642,1564760410
热情的湖北人,227093,1564759234
满头大汉,227764,1564755005
我以为是一盒烟,228909,1564760291
云南白药不高兴了,229114,1564756108
新乡的,229814,1564759966
武汉人表示，很正常,230357,1564760441
大型交友现场,230962,1564757825
知道我武汉人  好客了吧！,231442,1564760278
好爽,231599,1564758866
十堰+1,232568,1564751776
我们四川也有独头蒜 快来我们这吃 哈哈哈,233963,1564751460
木勺后面那个大叔我可以惹,234892,1564757405
我这叫jiao（四声）头,235565,1564755045
湖南也有哦,235635,1564757567
四川多的很,236100,1564752764
四川也有,236619,1564759250
东北也有独头蒜,236641,1564753239
成都也有,236759,1564760029
独蒜就是一整个蒜,237831,1564754132
广东也有,238220,1564758835
辣哭,238660,1564754190
我们这也有,238717,1564752614
好热情的哥们,238876,1564754287
独蒜香啊,238893,1564754298
可怜见的杨树梢,238957,1564760322
柳州好多独蒜，这个辣,239257,1564754770
巨辣,239374,1564753482
紫皮独头辣心蒜,239579,1564758626
哈哈哈哈哈哈哈哈哈果然,239584,1564759272
居然没吃过,239629,1564752236
独头蒜烧小龙虾的,239760,1564757837
特别辣！！！,239799,1564760337
见过让烟的让酒的头一回见让蒜的哈哈哈哈哈,240299,1564755672
蒜,240747,1564758898
四川都有,240876,1564760373
啊？？？？北京河南没独蒜？,240899,1564758509
四川的我只见过这种蒜，哭了,241105,1564759716
这个超级辣,241672,1564760361
有湖北恩施的社员嘛?,241737,1564753325
王咩啊,241919,1564752084
还不是蒜,242371,1564758233
西安也有啊，独头蒜超辣,242487,1564757378
来湖南 给你买好多这个,242508,1564757586
这种好吃,242819,1564755621
广西也有,242931,1564759971
我们这都独头蒜,243344,1564751275
广东很常见啊,243578,1564755422
广西也有,243704,1564754230
"北京也有,我爸吃饺子吃面必配蒜",244087,1564760866
重庆也有,244330,1564756203
@徐大sao,244519,1564752715
天津也有独头蒜,244605,1564757791
重庆也有诶,244632,1564759747
东北有啊，来,245123,1564758880
独头蒜吃着可爽了，一口吃完,245157,1564759603
四川也有独蒜,245826,1564752520
广东也有,246073,1564752837
重庆也有独蒜,246596,1564752803
独头好像挺辣,247169,1564754948
大四川可多了,247530,1564755610
金乡有，管够,247676,1564755880
重庆也有,247991,1564757005
东北也有独头蒜,248080,1564753828
我也是河南的,248383,1564760188
太热情了吧哈哈哈哈哈哈哈哈哈哈,251019,1564755664
嘿嘿,251304,1564757790
天津也有,251751,1564758065
以蒜会友,252023,1564756127
我们武汉一般不生吃蒜。,253632,1564754158
长春也有,253687,1564753694
很难剥的独头蒜,254024,1564757709
好有人间烟火味,254885,1564751313
四川也很多诶，,254929,1564755730
再不吃菜就热了,255442,1564757936
对武汉的热，解释的精辟,255590,1564758744
太可爱了吧,255604,1564757778
哈哈哈哈哈哈哈哈哈哈哈哈哈,256553,1564751439
北京也有自家种的可辣了,258259,1564755105
无长子武汉大汉,259133,1564759103
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,259137,1564753839
哈哈哈哈哈哈哈哈哈哈,259778,1564753143
哈哈哈,260152,1564760330
哈哈哈哈哈哈哈哈,260240,1564754004
hhhhhh,260806,1564751428
啊哈哈哈哈哈哈,260963,1564753829
哈哈哈哈哈哈哈哈,261269,1564755515
哈哈哈哈哈哈哈哈哈哈哈哈,261561,1564755875
KKK,261592,1564751873
哈哈哈哈,261659,1564757399
Tom，把咱家限量版的独头蒜拿来让小姐尝尝,261689,1564760090
精辟哈哈哈哈哈哈哈哈哈哈哈哈哈,261891,1564759648
江西也有，快来,262099,1564753157
这个蒜超级好吃，贼辣,262120,1564752952
真实,262199,1564753575
哈哈哈哈哈哈,262854,1564757477
过于真实,263102,1564756279
